metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2191.8,107.045318,2014.0,2274.0
valid_samples,551.0,2188.0,108.708325,2012.0,2274.0
skipped_samples,0.0,3.8,7.42967,0.0,17.0
skip_pct,0.0,0.176,0.340911,0.0,0.781
abs_rel,0.308,0.3146,0.077449,0.215,0.402
sq_rel,10.105,12.1942,6.685277,5.085,21.303
rmse,22.58,23.5156,6.446443,16.054,32.853
rmse_log,0.44,0.4266,0.098447,0.304,0.55
a1,0.512,0.5292,0.092354,0.41,0.666
a2,0.767,0.765,0.082411,0.671,0.871
a3,0.885,0.873,0.058142,0.819,0.938
