sample_index,sample_name,eval_split,sequence,keyframe,frame_id,index,height,width,median_scaling_applied,raw_npy_path,depth_png16_path,depth_vis_path
0,sequence3_keyframe4_frame000390,endovis,3,4,390,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000390.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000390.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000390.png
1,sequence6_keyframe4_frame000770,endovis,6,4,770,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence6_keyframe4_frame000770.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence6_keyframe4_frame000770.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence6_keyframe4_frame000770.png
2,sequence7_keyframe4_frame000250,endovis,7,4,250,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence7_keyframe4_frame000250.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence7_keyframe4_frame000250.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence7_keyframe4_frame000250.png
3,sequence5_keyframe4_frame000025,endovis,5,4,25,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence5_keyframe4_frame000025.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence5_keyframe4_frame000025.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence5_keyframe4_frame000025.png
4,sequence3_keyframe4_frame000180,endovis,3,4,180,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000180.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000180.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000180.png
5,sequence1_keyframe3_frame000242,endovis,1,3,242,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence1_keyframe3_frame000242.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence1_keyframe3_frame000242.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence1_keyframe3_frame000242.png
6,sequence3_keyframe4_frame000070,endovis,3,4,70,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000070.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000070.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000070.png
7,sequence4_keyframe4_frame000014,endovis,4,4,14,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000014.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000014.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000014.png
8,sequence3_keyframe4_frame000020,endovis,3,4,20,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence3_keyframe4_frame000020.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence3_keyframe4_frame000020.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence3_keyframe4_frame000020.png
9,sequence4_keyframe4_frame000118,endovis,4,4,118,,1024,1280,True,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/raw_npy/sequence4_keyframe4_frame000118.npy,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_png16/sequence4_keyframe4_frame000118.png,/home/khuyen.pham/MonoDepthEstimation/endoDAC/full_model/exported_depth_maps/depth_vis/sequence4_keyframe4_frame000118.png
