metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2250.6,23.233596,2233.0,2278.0
valid_samples,551.0,2195.2,105.932526,2023.0,2278.0
skipped_samples,0.0,55.4,91.379976,0.0,211.0
skip_pct,0.0,2.4802,4.090447,0.0,9.445
abs_rel,0.051,0.055,0.017678,0.032,0.079
sq_rel,0.355,0.4884,0.32266,0.132,0.914
rmse,4.436,4.759,1.753203,2.513,6.859
rmse_log,0.073,0.0766,0.023923,0.046,0.106
a1,0.979,0.9694,0.023985,0.94,0.994
a2,0.998,0.9954,0.004879,0.989,1.0
a3,1.0,0.9982,0.00249,0.995,1.0
