metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2191.8,107.045318,2014.0,2274.0
valid_samples,551.0,2188.0,108.708325,2012.0,2274.0
skipped_samples,0.0,3.8,7.42967,0.0,17.0
skip_pct,0.0,0.176,0.340911,0.0,0.781
abs_rel,0.051,0.0558,0.019215,0.029,0.079
sq_rel,0.362,0.5322,0.3899,0.123,1.075
rmse,4.527,4.9136,1.95115,2.422,7.385
rmse_log,0.073,0.0778,0.025528,0.044,0.106
a1,0.979,0.967,0.027414,0.934,0.995
a2,0.998,0.9954,0.004879,0.989,1.0
a3,1.0,0.9988,0.002168,0.995,1.0
