metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2250.6,23.233596,2233.0,2278.0
valid_samples,551.0,2195.2,105.932526,2023.0,2278.0
skipped_samples,0.0,55.4,91.379976,0.0,211.0
skip_pct,0.0,2.4802,4.090447,0.0,9.445
abs_rel,0.049,0.0536,0.017329,0.031,0.076
sq_rel,0.333,0.5662,0.485906,0.133,1.349
rmse,4.384,4.8688,1.85369,2.545,6.83
rmse_log,0.069,0.0752,0.024386,0.045,0.105
a1,0.982,0.971,0.022661,0.948,0.996
a2,0.998,0.9962,0.004025,0.992,1.0
a3,1.0,0.9988,0.001643,0.997,1.0
