metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2191.8,107.045318,2014.0,2274.0
valid_samples,551.0,2188.0,108.708325,2012.0,2274.0
skipped_samples,0.0,3.8,7.42967,0.0,17.0
skip_pct,0.0,0.176,0.340911,0.0,0.781
abs_rel,0.051,0.0546,0.016637,0.03,0.072
sq_rel,0.349,0.4888,0.313503,0.127,0.917
rmse,4.488,4.799,1.73488,2.319,6.813
rmse_log,0.072,0.0766,0.02387,0.043,0.102
a1,0.983,0.9716,0.019932,0.952,0.994
a2,0.998,0.9956,0.00493,0.989,1.0
a3,1.0,0.9982,0.003033,0.993,1.0
