metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,551.0,2191.8,107.045318,2014.0,2274.0
valid_samples,551.0,2188.4,107.89949,2014.0,2274.0
skipped_samples,0.0,3.4,7.602631,0.0,17.0
skip_pct,0.0,0.1562,0.349274,0.0,0.781
abs_rel,0.062,0.0608,0.019473,0.029,0.074
sq_rel,0.595,0.634,0.393289,0.104,1.117
rmse,5.77,5.549,2.417224,2.266,8.913
rmse_log,0.09,0.0872,0.030401,0.041,0.113
a1,0.965,0.9584,0.029083,0.929,0.997
a2,0.993,0.9932,0.006535,0.987,1.0
a3,0.998,0.9974,0.002408,0.995,1.0
